Id,Name,Platform_x,Publisher_x,Genre,ESRB_Rating,Platform_y,Publisher_y,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
1,Call of Duty,Series,Activision,Shooter,T,PC,Activision,Infinity Ward,7.0,,,0.01,,0.01,,0.0,2003.0
1,Call of Duty,Series,Activision,Shooter,T,NGage,Activision,Activision,5.9,,,,,,,,2004.0
2,Resident Evil,Series,Capcom,Action,M,PS,Capcom,Capcom,8.6,,2.75,,,,,,1996.0
2,Resident Evil,Series,Capcom,Action,M,GC,Capcom,Capcom,8.9,,1.35,,,,,,2002.0
2,Resident Evil,Series,Capcom,Action,M,SAT,Capcom,Nextech,7.3,,,0.17,,,0.17,,1997.0
2,Resident Evil,Series,Capcom,Action,M,PC,Virgin Interactive,Capcom,7.2,,,,,,,,1997.0
2,Resident Evil,Series,Capcom,Misc,,DS,Capcom,Unknown,,,,,,,,,2006.0
2,Resident Evil,Series,Capcom,Action-Adventure,M,PS4,Capcom,Capcom,,,,,,,,,2015.0
2,Resident Evil,Series,Capcom,Action-Adventure,M,XOne,Capcom,Capcom,,,,,,,,,2015.0
2,Resident Evil,Series,Capcom,Action-Adventure,M,NS,Capcom,Capcom,,,,,,,,,2019.0
3,Wii Sports,Wii,Nintendo,Sports,E,Wii,Nintendo,Nintendo EAD,7.7,,82.86,,,,,,2006.0
5,Monster Hunter,Series,Capcom,Role-Playing,M,PS2,Capcom,Capcom,,,,0.5,0.11,0.08,0.28,0.03,2004.0
5,Monster Hunter,Series,Capcom,Misc,,PSP,Capcom,Unknown,,,,,,,,,2006.0
5,Monster Hunter,Series,Capcom,Misc,,Wii,Capcom,Unknown,,,,,,,,,2009.0
6,Street Fighter,Series,Capcom,Misc,,TG16,NEC Avenue,Unknown,,,,,,,,,1989.0
6,Street Fighter,Series,Capcom,Misc,,Arc,Capcom,Unknown,,,,,,,,,1987.0
7,Super Mario Bros.,NES,Nintendo,Platform,,NES,Nintendo,Nintendo EAD,10.0,,40.24,,,,,,1985.0
7,Super Mario Bros.,NES,Nintendo,Platform,E,VC,Nintendo,Nintendo EAD,9.0,,,,,,,,2006.0
7,Super Mario Bros.,NES,Nintendo,Misc,,WiiU,Nintendo,Unknown,,,,,,,,,2013.0
7,Super Mario Bros.,NES,Nintendo,Misc,,3DS,Nintendo,Unknown,,,,,,,,,2012.0
8,Mario Kart Wii,Wii,Nintendo,Racing,E,Wii,Nintendo,Nintendo EAD,8.2,9.1,37.14,,,,,,2008.0
10,Mega Man,Series,Capcom,Platform,,NES,Capcom,Capcom,,,,0.81,0.45,0.08,0.27,0.01,1987.0
10,Mega Man,Series,Capcom,Platform,E,GG,U.S. Gold,Freestyle,,,,,,,,,1995.0
10,Mega Man,Series,Capcom,Platform,E,VC,Capcom,Capcom,,,,,,,,,2008.0
10,Mega Man,Series,Capcom,Platform,,PC,Capcom,Capcom,,,,,,,,,1990.0
10,Mega Man,Series,Capcom,Platform,E,PSN,Sony Computer Entertainment,Capcom,,,,,,,,,2011.0
11,Minecraft,PC,Mojang,Misc,,PC,Mojang,Mojang AB,10.0,,30.01,,,,,,2010.0
11,Minecraft,PC,Mojang,Misc,E10,X360,Microsoft Studios,Mojang,,,13.0,,,,,,2013.0
11,Minecraft,PC,Mojang,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,,6.33,1.89,3.13,0.35,0.96,2014.0
11,Minecraft,PC,Mojang,Misc,E10,PS3,Sony Computer Entertainment America,Mojang,,,,6.05,2.21,2.86,,0.99,2014.0
11,Minecraft,PC,Mojang,Misc,E10,XOne,Microsoft Studios,Mojang,,,,5.43,3.23,1.71,,0.49,2014.0
11,Minecraft,PC,Mojang,Misc,E10,PSV,Sony Computer Entertainment America,4J Studios,,,,2.47,0.22,0.73,1.25,0.27,2014.0
11,Minecraft,PC,Mojang,Sandbox,E10,NS,Mojang,4J Studios,9.2,,,1.89,0.69,0.56,0.52,0.12,2018.0
11,Minecraft,PC,Mojang,Misc,E10,WiiU,Mojang,4J Studios,5.5,,,1.47,0.5,0.49,0.38,0.09,2016.0
11,Minecraft,PC,Mojang,Misc,E10,3DS,Nintendo,Other Ocean Interactive,6.7,,,0.37,0.33,,,0.04,2017.0
11,Minecraft,PC,Mojang,Misc,,And,Mojang,Mojang,,,,,,,,,2011.0
11,Minecraft,PC,Mojang,Misc,,iOS,Mojang,Mojang,,,,,,,,,2011.0
70,Minecraft,X360,Microsoft Studios,Misc,,PC,Mojang,Mojang AB,10.0,,30.01,,,,,,2010.0
70,Minecraft,X360,Microsoft Studios,Misc,E10,X360,Microsoft Studios,Mojang,,,13.0,,,,,,2013.0
70,Minecraft,X360,Microsoft Studios,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,,6.33,1.89,3.13,0.35,0.96,2014.0
70,Minecraft,X360,Microsoft Studios,Misc,E10,PS3,Sony Computer Entertainment America,Mojang,,,,6.05,2.21,2.86,,0.99,2014.0
70,Minecraft,X360,Microsoft Studios,Misc,E10,XOne,Microsoft Studios,Mojang,,,,5.43,3.23,1.71,,0.49,2014.0
70,Minecraft,X360,Microsoft Studios,Misc,E10,PSV,Sony Computer Entertainment America,4J Studios,,,,2.47,0.22,0.73,1.25,0.27,2014.0
70,Minecraft,X360,Microsoft Studios,Sandbox,E10,NS,Mojang,4J Studios,9.2,,,1.89,0.69,0.56,0.52,0.12,2018.0
70,Minecraft,X360,Microsoft Studios,Misc,E10,WiiU,Mojang,4J Studios,5.5,,,1.47,0.5,0.49,0.38,0.09,2016.0
70,Minecraft,X360,Microsoft Studios,Misc,E10,3DS,Nintendo,Other Ocean Interactive,6.7,,,0.37,0.33,,,0.04,2017.0
70,Minecraft,X360,Microsoft Studios,Misc,,And,Mojang,Mojang,,,,,,,,,2011.0
70,Minecraft,X360,Microsoft Studios,Misc,,iOS,Mojang,Mojang,,,,,,,,,2011.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,,PC,Mojang,Mojang AB,10.0,,30.01,,,,,,2010.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,E10,X360,Microsoft Studios,Mojang,,,13.0,,,,,,2013.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,,6.33,1.89,3.13,0.35,0.96,2014.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,E10,PS3,Sony Computer Entertainment America,Mojang,,,,6.05,2.21,2.86,,0.99,2014.0
183,Minecraft,PS4,Sony Computer Entertainment,Misc,E10,XOne,Microsoft Studios,Mojang,,,,5.43,3.23,1.71,,0.49,2014.0
