Id,RAWG Score,Critic_Score
1,4.21,7.0
2,4.32,8.6
3,4.2,7.7
7,4.27,10.0
11,4.33,10.0
12,4.19,8.0
14,4.08,9.1
15,3.95,8.6
18,3.34,5.9
19,3.36,6.7
20,3.64,8.4
21,4.21,9.1
23,4.36,9.3
24,3.68,7.9
25,3.62,8.0
26,4.35,8.5
27,4.48,9.4
28,4.09,9.1
30,3.62,8.1
31,4.03,8.2
33,4.38,9.4
35,4.44,9.5
38,4.4,9.9
40,4.53,9.9
41,4.52,9.2
44,4.41,9.6
49,3.66,9.3
51,4.0,9.3
52,0.0,8.0
53,3.64,8.7
54,4.0,8.8
56,4.32,9.6
58,4.54,9.8
61,4.25,9.5
62,3.47,8.0
64,3.73,7.5
65,4.29,9.2
66,4.43,9.1
67,4.18,9.5
68,4.6,9.7
69,3.69,8.4
71,4.3,9.7
74,4.2,8.9
76,4.34,8.6
77,4.09,9.0
79,4.07,8.3
80,4.37,9.7
81,3.44,8.3
82,4.69,9.5
83,4.24,8.7
85,4.3,8.5
86,4.25,9.0
87,4.23,10.0
88,4.32,8.6
89,4.33,9.7
90,3.96,8.8
91,3.27,8.9
92,4.41,9.5
96,3.03,6.9
97,3.9,7.5
99,4.42,9.1
100,3.13,8.1
101,3.92,8.3
102,4.26,9.3
103,4.5,9.0
105,4.37,9.6
106,4.3,8.5
107,4.24,8.2
108,4.23,8.4
109,4.36,8.7
110,4.35,9.6
111,4.41,9.2
112,3.46,7.0
114,3.93,7.1
115,4.38,9.0
117,4.33,9.3
119,3.97,7.3
120,3.34,6.1
121,4.47,9.7
122,4.4,9.3
123,3.28,6.5
124,4.1,10.0
127,4.25,9.4
128,4.38,9.0
131,3.72,8.6
132,4.3,8.8
133,4.36,9.6
134,3.27,8.5
135,4.58,9.5
136,4.33,9.8
137,3.51,7.1
139,4.41,9.6
140,3.88,8.5
141,3.96,8.8
143,4.37,9.2
145,4.35,9.9
146,4.28,8.6
147,3.39,8.5
148,3.93,8.5
150,4.24,9.7
151,4.33,9.2
153,3.99,8.5
155,4.32,9.5
158,4.32,8.6
159,3.93,8.3
160,4.28,9.3
162,4.34,8.3
164,4.36,8.5
165,4.0,9.0
166,4.16,7.8
168,4.36,9.5
170,0.0,9.2
172,4.38,9.5
173,4.12,7.8
174,4.36,8.6
176,3.66,8.8
177,3.95,8.7
180,4.08,9.4
182,4.13,8.7
184,3.26,8.1
185,4.34,8.5
187,4.09,8.5
189,4.0,8.6
190,0.0,7.7
192,4.31,9.5
193,4.38,9.5
194,4.4,9.3
195,4.03,8.9
197,4.37,9.3
198,4.02,8.5
199,3.83,9.3
200,4.31,9.2
