Rank,Name,Platform,Publisher,Genre,Critic_Score,Year
1,Wii Sports,Wii,Nintendo,Sports,7.7,2006.0
2,Super Mario Bros.,NES,Nintendo,Platform,10.0,1985.0
2,Super Mario Bros.,NES,Nintendo,Platform,9.0,2006.0
3,Mario Kart Wii,Wii,Nintendo,Racing,8.2,2008.0
5,Minecraft,PC,Mojang,Misc,10.0,2010.0
5,Minecraft,PC,Mojang,Misc,9.4,2014.0
5,Minecraft,PC,Mojang,Sandbox,9.2,2018.0
5,Minecraft,PC,Mojang,Misc,5.5,2016.0
5,Minecraft,PC,Mojang,Misc,6.7,2017.0
61,Minecraft,X360,Microsoft Studios,Misc,10.0,2010.0
61,Minecraft,X360,Microsoft Studios,Misc,9.4,2014.0
61,Minecraft,X360,Microsoft Studios,Sandbox,9.2,2018.0
61,Minecraft,X360,Microsoft Studios,Misc,5.5,2016.0
61,Minecraft,X360,Microsoft Studios,Misc,6.7,2017.0
172,Minecraft,PS4,Sony Computer Entertainment,Misc,10.0,2010.0
172,Minecraft,PS4,Sony Computer Entertainment,Misc,9.4,2014.0
172,Minecraft,PS4,Sony Computer Entertainment,Sandbox,9.2,2018.0
172,Minecraft,PS4,Sony Computer Entertainment,Misc,5.5,2016.0
172,Minecraft,PS4,Sony Computer Entertainment,Misc,6.7,2017.0
180,Minecraft,PS3,Sony Computer Entertainment America,Misc,10.0,2010.0
180,Minecraft,PS3,Sony Computer Entertainment America,Misc,9.4,2014.0
180,Minecraft,PS3,Sony Computer Entertainment America,Sandbox,9.2,2018.0
180,Minecraft,PS3,Sony Computer Entertainment America,Misc,5.5,2016.0
180,Minecraft,PS3,Sony Computer Entertainment America,Misc,6.7,2017.0
6,Wii Sports Resort,Wii,Nintendo,Sports,8.0,2009.0
8,New Super Mario Bros.,DS,Nintendo,Platform,9.1,2006.0
9,New Super Mario Bros. Wii,Wii,Nintendo,Platform,8.6,2009.0
10,Tetris,GB,Nintendo,Puzzle,7.5,2011.0
12,Wii Play,Wii,Nintendo,Misc,5.9,2007.0
13,Kinect Adventures!,X360,Microsoft Game Studios,Party,6.7,2010.0
14,Nintendogs,DS,Nintendo,Simulation,8.4,2005.0
15,Mario Kart DS,DS,Nintendo,Racing,9.1,2005.0
17,Wii Fit,Wii,Nintendo,Sports,7.9,2008.0
18,Wii Fit Plus,Wii,Nintendo,Sports,8.0,2009.0
19,Super Mario World,SNES,Nintendo,Platform,8.5,1991.0
19,Super Mario World,SNES,Nintendo,Platform,8.5,2007.0
20,Grand Theft Auto V,PS3,Rockstar Games,Action,9.4,2013.0
20,Grand Theft Auto V,PS3,Rockstar Games,Action,9.7,2014.0
20,Grand Theft Auto V,PS3,Rockstar Games,Action,9.0,2014.0
21,Grand Theft Auto V,PS4,Rockstar Games,Action,9.4,2013.0
21,Grand Theft Auto V,PS4,Rockstar Games,Action,9.7,2014.0
21,Grand Theft Auto V,PS4,Rockstar Games,Action,9.0,2014.0
35,Grand Theft Auto V,X360,Rockstar Games,Action,9.4,2013.0
35,Grand Theft Auto V,X360,Rockstar Games,Action,9.7,2014.0
35,Grand Theft Auto V,X360,Rockstar Games,Action,9.0,2014.0
65,Grand Theft Auto V,PC,Rockstar Games,Action,9.4,2013.0
65,Grand Theft Auto V,PC,Rockstar Games,Action,9.7,2014.0
65,Grand Theft Auto V,PC,Rockstar Games,Action,9.0,2014.0
113,Grand Theft Auto V,XOne,Rockstar Games,Action,9.4,2013.0
113,Grand Theft Auto V,XOne,Rockstar Games,Action,9.7,2014.0
113,Grand Theft Auto V,XOne,Rockstar Games,Action,9.0,2014.0
