Id,Name,Genre,Platform_y,Publisher_y,Critic_Score,Year,RAWG Score,Description
1,Call of Duty,Shooter,PC,Activision,7.0,2003.0,4.21,"Call of Duty is a World War II first-person shooter developed by Infinity Ward. It is the first game in the series by the same name. 
<h3>Plot</h3>
During the game&#39;s singleplayer campaign, the players take control of three soldiers from different armies: Joey Martin from the U.S. military, sergeant Evans from the British SAS, and Alexei Ivanovich Voronin from the Red Army. The game&#39;s plot follows their path from boot camp to the Battle of Berlin. There are 26 missions present in the game.
<h3>Gameplay</h3>
Call of Duty features both singleplayer and multiplayer modes. During the singleplayer campaign, a briefing is held or a slide-show with commentary before every mission. In order to complete a level, the player has to complete several objectives in a chronological order. There are four difficulty levels in Call of Duty, they differ in the amount of damage the player can sustain. There is no health regeneration system present in the game. A health pack system is used instead.
The players can carry two main weapons, one pistol, and 10 grenades. The players can melee any enemy they encounter in the game.
<h3>Multiplayer</h3>
At the beginning of the match, the players choose one of four sides: the U.S. Army, the British forces, the Vermacht, and the Red Army. 
There are 4 game modes present in Call of Duty: Deathmatch, Team Deathmatch, Domination and Search and Destroy.
The game&#39;s maps are renditions of the real battlefields, such as Sainte-Mere-Eglise, the shores of Normandy, Berlin, and Stalingrad."
2,Resident Evil,Action,PS,Capcom,8.6,1996.0,4.32,"The police of a small town are trying to find the cause of numerous brutal murders. The details of these murders are so monstrous that the police are requesting help from the federal authorities. A special squad arrives in the town, then another one. As a result, all roads converge to a mansion in which the surviving fighters of special forces find the cause of all incidents - aggressive zombies and mutants. These devils of hell, by all indications, until recently were people. It turns out that they have been changed by experiments conducted to obtain new weapons. But regardless of the reason, all monsters should be destroyed.<br />
The game takes place in a mansion and in a dungeon near this mansion. Soldiers of special forces clear all these spaces from monsters. Everywhere there are disguised, hidden spaces, which can be opened only by taking separate efforts. Fighters also encounter a variety of mechanisms, which they can neutralize, and even a mutant plant. All this is not including very diverse, aggressive and dangerous monsters-muntants."
3,Wii Sports,Sports,Wii,Nintendo,7.7,2006.0,4.2,"This is what video games should be: fun for everyone. Wii Sports offers<br />
five distinct sports experiences, each using the Wii Remote controller<br />
to provide a natural, intuitive and realistic feel. To play a Wii Sports<br />
game, all you need to do is pick up a controller and get ready for the<br />
pitch, serve or that right hook. If you&#39;ve played any of these sports<br />
before, you&#39;re ready for fun!<br />
Wii Sports is part of the Nintendo<br />
Selects family of games—great titles enjoyed by millions, now a great<br />
value at just $19.99 MSRP* each.
Features
Play Tennis, Baseball, Golf, Bowling and Boxing in the comfort of<br />
one&#39;s living room. No ball boys scurrying about, no oil from the<br />
alleys to get players dirty and no rain to keep anyone from a day at<br />
the court, park or course. Use the Wii Remote controller to mimic the<br />
actions of swinging a racket, bat or club, roll a ball down an alley<br />
or bring the left jab.
Players can use their own Mii caricatures in the game and play them<br />
against their friends&#39; Miis for a more personalized experience. As<br />
players improve, their Miis&#39; skill levels will increase, so that they<br />
can see exactly how much better they&#39;ve become.
People of all skill levels can pick up and play any of the games in<br />
the unprecedented Wii Sports package, making this truly a title for<br />
everyone!
*MSRP: Manufacturer’s Suggested Retail Price. Actual price may vary. See<br />
retailer for details."
5,Monster Hunter,Role-Playing,PS2,Capcom,,2004.0,0.0,"Monster Hunter is an arcade game developed by Contraband Entertainment. It was originally released in 2000. Monkey Byte Development published the game. The game is rated as ""Meh"" on RAWG. <br>Monster Hunter is available on PC. <br>It was produced by Kenji Itsuno and Tsuyoshi Tanaka. It was directed by Kaname Fujioka. It was scored by Masato Kouda and Tetsuya Shibata. <br>"
6,Street Fighter,Misc,TG16,NEC Avenue,,1989.0,3.0,"Street Fighter (ストリートファイター, Sutorīto Faitā) is a 1987 arcade game developed by Capcom. It is the first competitive fighting game produced by the company and the inaugural game in the Street Fighter series. While it did not achieve the same worldwide popularity as its sequel Street Fighter II when it was first released, the original Street Fighter introduced some of the conventions made standard in later games, such as the six button controls and the use of command based special techniques.
A port for the PC Engine/TurboGrafx CD console was released under the title Fighting Street (ファイティング・ストリート, Faitingu Sutorīto) in 1988. This same version was later re-released for the Wii's Virtual Console in North America on November 2, 2009, and in the PAL region on November 5, 2009."
7,Super Mario Bros.,Platform,NES,Nintendo,10.0,1985.0,4.27,"Mario and Luigi star in their first ever Mushroom Kingdom adventure! Find out why Super Mario Bros. is instantly recognizable to millions of people across the globe, and what made it the best-selling game in the world for three decades straight. Jump over obstacles, grab coins, kick shells, and throw fireballs through eight action-packed worlds in this iconic NES classic. Only you and the Mario Bros. can rescue Princess Toadstool from the clutches of the evil Bowser. 
For more than 25 years, the Super Mario series has conquered the charts and won the hearts of fans the world over. Now you can discover - or rediscover - the original game that made Mario a household name.
Run and jump with Mario or Luigi through caves and castles, down pipes and across platforms, and face off against Bowser to rescue your beloved Princess Peach.
It may be more than a quarter of a century old, but Super Mario Bros. is still as enchanting as ever!"
8,Mario Kart Wii,Racing,Wii,Nintendo,8.2,2008.0,4.16,
10,Mega Man,Platform,NES,Capcom,,1987.0,4.0,"Mega Man, known as Rockman (ロックマン, Rokkuman) in Japan, is a 1987 action-platform video game developed and published by Capcom for the Nintendo Entertainment System (NES). It was directed by Akira Kitamura, with Nobuyuki Matsushima as lead programmer, and is the first game of the Mega Man franchise and the original video game series. Mega Man was produced by a small team specifically for the home console market, a first for Capcom, who previously focused on arcade titles.
The game begins the struggle of the humanoid robot and player-character Mega Man against the mad scientist Dr. Wily and the six Robot Masters under his control. Mega Man's nonlinear gameplay lets the player choose the order in which to complete its initial six stages. Each culminates in a ""Robot Master"" boss battle that awards the player-character a unique weapon.
Critics praised Mega Man for its overall design, though the game was not a commercial success. Mega Man established many of the gameplay, story, and graphical conventions that define the ensuing sequels, subseries, and spin-offs. The game has since been included in game compilations and rereleased on mobile phones, console emulation services. It received a full 3D remake titled Mega Man Powered Up in 2006."
11,Minecraft,Misc,PC,Mojang,10.0,2010.0,4.33,"One of the most popular games of the 2010s, Minecraft allows you to rebuild the environment around you. The world of the game is open, infinitely wide, and procedurally generated. It is composed of small 3D cubes that represent specific types of materials or terrain. The gameplay is centered on mining and building various structures of your choice. You can also craft items like tools, weapons, and armor. There&#39;s an option to shift to the first or the third person view.<br />
Minecraft includes multiple modes that dramatically change the focus of the game. Survival and Adventure modes require the player to gather resources, hunt for food and fight monsters to survive. In the Hardcore mode, there’s even permanent death. Creative mode, by contrast, offers you to freely explore the world and construct whatever you want with unlimited resources. There’s also a multiplayer mode that allows the players to share their worlds and engage in the traditional MMO activities, such as player-vs-player combat.<br />
Minecraft’s crude visual style, reminiscent of Lego cubes, became an iconic part of the popular culture. There are many myths and fan fiction surrounding the game, such as the legend of Herobrine, a rumored character that officially doesn’t exist."
12,Wii Sports Resort,Sports,Wii,Nintendo,8.0,2009.0,4.19,"Wii Sports Resort is an immersive, expansive active-play game that includes a dozen fun resort-themed activities. It maintains the wide-ranging appeal that attracted millions to the original Wii Sports.
Wii Sports Resort is easy to pick up and play, but comes coupled with deeper levels of play that are sure to challenge even the most experienced gamers. Wii Sports Resort whisks players away to a resort that&#39;s full of action, while introducing an unprecedented experience in physical reality. From the moment players skydive onto Wuhu Island,they&#39;re presented with a huge selection of fun activities that everyone can play.
Wuhu Island has so many things to do, there&#39;s never a dull moment. A dozen activities await visitors: Archery, Frisbee®, Basketball, Cycling, Canoeing, Power Cruising, Table Tennis, Air Sports, Bowling, Swordplay, Golf and Wakeboarding.
The activities use the precision controls of the Wii MotionPlus accessory to help players come much closer to the physical reality of engaging in the actual sports. Every real-world action, whether it&#39;s a perfect drive on the fairway or a slice off the course, is meant to be faithfully replicated.
Each activity has multiple fun challenges designed to keep visitors coming back for more. Basketball players might compete in a three-point shootout or jump into a three-on-three pickup game. Archery enthusiasts must aim for the bull&#39;s-eye across ever-increasing distances and obstacles.
Different activities use the Wii Remote and Nunchuk controllers in different ways. For example, players hold the Wii Remote like a paddle in Canoeing, while in Cycling they use both arms to “pedal” with the two controllers. The Wii MotionPlus accessory picks up every nuance of motion and translates it onto the TV screen.
Depending on the activity, players can compete solo or against other players. Some activities even let players team up to work cooperatively."
14,New Super Mario Bros.,Platform,DS,Nintendo,9.1,2006.0,4.08,"
      Princess Peach™ has been kidnapped by Bowser Jr.™! Run, jump, and stomp 
      your way across eight worlds as you smash through your foes and save the 
      day! Take a break from the adventure to play minigames in four 
      fun-filled categories!
    
      When lightning suddenly strikes Peach's castle, Mario goes to 
      investigate the disturbance. But Bowser Jr. seizes the opportunity to 
      sneak up from behind and grab ahold of Peach! It's up to Mario to save 
      the day! Run, jump, and stomp your way through raging volcanoes, 
      tropical islands, snowcapped peaks, and unimaginable challenges. Grab a 
      Mega Mushroom and grow to incredible proportions, or smash through your 
      foes in a blue Koopa shell. Collect Star Coins to unlock helpful items, 
      backgrounds, and even new paths on the map.
    This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you'll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U."
