Id,Name,Platform,Publisher
1,Call of Duty,Series,Activision
2,Resident Evil,Series,Capcom
3,Wii Sports,Wii,Nintendo
4,Halo,Series,Microsoft Game Studios
5,Monster Hunter,Series,Capcom
6,Street Fighter,Series,Capcom
7,Super Mario Bros.,NES,Nintendo
8,Mario Kart Wii,Wii,Nintendo
9,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,PUBG Corporation
10,Mega Man,Series,Capcom
11,Minecraft,PC,Mojang
12,Wii Sports Resort,Wii,Nintendo
13,Pokémon Red / Green / Blue Version,GB,Nintendo
14,New Super Mario Bros.,DS,Nintendo
15,New Super Mario Bros. Wii,Wii,Nintendo
16,Tetris,GB,Nintendo
17,Duck Hunt,NES,Nintendo
18,Wii Play,Wii,Nintendo
19,Kinect Adventures!,X360,Microsoft Game Studios
20,Nintendogs,DS,Nintendo
21,Mario Kart DS,DS,Nintendo
22,Pokémon Gold / Silver Version,GB,Nintendo
23,Mario Kart 8 Deluxe,NS,Nintendo
24,Wii Fit,Wii,Nintendo
25,Wii Fit Plus,Wii,Nintendo
26,Super Mario World,SNES,Nintendo
27,Grand Theft Auto V,PS3,Rockstar Games
28,Devil May Cry,Series,Capcom
29,Grand Theft Auto V,PS4,Rockstar Games
30,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo
31,Mario Kart 7,3DS,Nintendo
32,Super Mario Land,GB,Nintendo
33,Super Smash Bros. Ultimate,NS,Nintendo
34,Pokémon Diamond / Pearl Version,DS,Nintendo
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games
36,Super Mario Bros. 3,NES,Nintendo
37,Garry's Mod,PC,Valve
38,Super Mario Odyssey,NS,Nintendo
39,Pokémon X/Y,3DS,Nintendo
40,The Legend of Zelda: Breath of the Wild,NS,Nintendo
41,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment
42,Pokémon Ruby / Sapphire Version,GBA,Nintendo
43,Pokémon Sun/Moon,3DS,Nintendo
44,Grand Theft Auto: Vice City,PS2,Rockstar Games
45,Pokémon Sword / Shield,NS,Nintendo
46,Grand Theft Auto V,X360,Rockstar Games
47,Pokémon Black / White Version,DS,Nintendo
48,Call of Duty: Black Ops 3,PS4,Activision
49,Counter-Strike: Source,PC,VU Games
50,Sonic the Hedgehog,GEN,Sega
51,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment
52,Brain Age 2: More Training in Minutes a Day,DS,Nintendo
53,Call of Duty: Modern Warfare 3,X360,Activision
54,Call of Duty: Black Ops,X360,Activision
55,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo
56,Halo 3,X360,Microsoft Game Studios
57,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,Nintendo
58,Red Dead Redemption 2,PS4,Rockstar Games
59,Call of Duty: Black Ops II,X360,Activision
60,Call of Duty: Black Ops II,PS3,Activision
61,Call of Duty: Modern Warfare 2,X360,Activision
62,Call of Duty: WWII,PS4,Activision
63,Call of Duty: Modern Warfare 3,PS3,Activision
64,New Super Mario Bros. 2,3DS,Nintendo
65,Super Smash Bros. Brawl,Wii,Nintendo
66,Marvel's Spider-Man,PS4,Sony Interactive Entertainment
67,Grand Theft Auto III,PS2,Rockstar Games
68,Portal 2,PC,Valve
69,Dead Rising,Series,Capcom
70,Minecraft,X360,Microsoft Studios
71,Super Mario Galaxy,Wii,Nintendo
72,Pokémon Heart Gold / Soul Silver Version,DS,Nintendo
73,Call of Duty: Black Ops,PS3,Activision
74,Super Mario 3D Land,3DS,Nintendo
75,Grand Theft Auto V,PC,Rockstar Games
76,Animal Crossing: New Leaf,3DS,Nintendo
77,Diablo III,PC,Blizzard Entertainment
78,Pokémon FireRed / LeafGreen Version,GBA,Nintendo
79,Gran Turismo 5,PS3,Sony Computer Entertainment
80,Super Mario 64,N64,Nintendo
81,FIFA 18,PS4,EA Sports
82,The Last of Us Remastered,PS4,Sony Computer Entertainment
83,Gran Turismo 4,PS2,Sony Computer Entertainment
84,"Pokémon: Let's Go, Pikachu/Eevee",NS,Nintendo
85,Animal Crossing: Wild World,DS,Nintendo
86,Super Mario Land 2: 6 Golden Coins,GB,Nintendo
87,Grand Theft Auto IV,X360,Rockstar Games
88,Super Mario 64 DS,DS,Nintendo
89,God of War (2018),PS4,Sony Interactive Entertainment
90,Terraria,PC,Unknown
91,FIFA 17,PS4,Electronic Arts
92,Gran Turismo,PS,Sony Computer Entertainment
93,Call of Duty: Modern Warfare 2,PS3,Activision
94,Grand Theft Auto IV,PS3,Rockstar Games
95,Super Mario All-Stars,SNES,Nintendo
96,Call of Duty: Ghosts,X360,Activision
97,Just Dance 3,Wii,Ubisoft
98,Call of Duty: Ghosts,PS3,Activision
99,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment
100,Persona,Series,Atlus
101,RollerCoaster Tycoon 3,PC,Atari
102,Halo: Reach,X360,Microsoft Game Studios
103,Portal,PC,Valve Corporation
104,Halo 4,X360,Microsoft Studios
105,Final Fantasy VII,PS,Sony Computer Entertainment
106,Mario Kart 64,N64,Nintendo
107,Splatoon 2,NS,Nintendo
108,Super Smash Bros. for 3DS,3DS,Nintendo
109,StarCraft,PC,Blizzard Entertainment
110,Call of Duty 4: Modern Warfare,X360,Activision
111,Gran Turismo 2,PS,Sony Computer Entertainment
112,Wii Party,Wii,Nintendo
113,Call of Duty: Black Ops IIII,PS4,Activision
114,Mario Party DS,DS,Nintendo
115,Donkey Kong Country,SNES,Nintendo
116,Marvel vs. Capcom,Series,Capcom
117,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment
118,FIFA 19,PS4,Electronic Arts
119,Super Mario Party,NS,Nintendo
120,Rust,PC,Facepunch Studios
121,Half-Life 2,PC,VU Games
122,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks
123,Mario Party 8,Wii,Nintendo
124,Super Mario Kart,SNES,Nintendo
125,Grand Theft Auto V,XOne,Rockstar Games
126,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo
127,Final Fantasy VIII,PS,Square EA
128,Final Fantasy X,PS2,Square
129,Pokémon Black 2 and White 2,DS,Nintendo
130,Call of Duty: Infinite Warfare,PS4,Activision
131,Fallout 4,PS4,Bethesda Softworks
132,Mario Kart 8,WiiU,Nintendo
133,Tekken 3,PS,Namco
134,FIFA 16,PS4,EA Sports
135,The Last of Us,PS3,Sony Computer Entertainment America
136,GoldenEye 007,N64,Nintendo
137,Star Wars Battlefront (2015),PS4,Electronic Arts
138,FIFA 13,PS3,EA Sports
139,Halo 2,XB,Microsoft Game Studios
140,The Sims 3,PC,Electronic Arts
141,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games
142,Pac-Man,2600,Atari
143,God of War III,PS3,Sony Computer Entertainment
144,Pokémon Platinum Version,DS,Nintendo
145,The Legend of Zelda: Ocarina of Time,N64,Nintendo
146,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment
147,Call of Duty: Advanced Warfare,PS4,Activision
148,Call of Duty: World at War,X360,Activision
149,Super Mario Bros. 2,NES,Nintendo
150,Super Mario Galaxy 2,Wii,Nintendo
151,Super Smash Bros. Melee,GC,Nintendo
152,Call of Duty: Black Ops 3,XOne,Activision
153,Battlefield 3,X360,Electronic Arts
154,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo
155,The Legend of Zelda: Twilight Princess,Wii,Nintendo
156,Battlefield 1,PS4,Electronic Arts
157,Battlefield 3,PS3,Electronic Arts
158,Need for Speed Underground,PS2,Electronic Arts
159,The Binding of Isaac,PC,Edmund McMillen
160,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment
161,Pokémon Emerald Version,GBA,Nintendo
162,Need for Speed Underground 2,PS2,Electronic Arts
163,Just Dance 4,Wii,Ubisoft
164,Mario Kart: Double Dash!!,GC,Nintendo
165,Medal of Honor: Frontline,PS2,Electronic Arts
166,Crash Bandicoot,PS,Sony Computer Entertainment
167,Zumba Fitness,Wii,Majesco
168,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment
169,Call of Duty 4: Modern Warfare,PS3,Activision
170,FIFA Soccer 12,PS3,EA Sports
171,FIFA 14,PS3,EA Sports
172,Red Dead Redemption,PS3,Rockstar Games
173,Tomodachi Life,3DS,Nintendo
174,Donkey Kong Country Returns,Wii,Nintendo
175,The Legend of Zelda,NES,Nintendo
176,Assassin's Creed III,PS3,Ubisoft
177,Guild Wars,PC,NCSoft
178,Red Dead Redemption,X360,Rockstar Games
179,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks
180,Final Fantasy XII,PS2,Square Enix
181,Pokémon Crystal Version,GBC,Nintendo
182,Halo 3: ODST,X360,Microsoft Game Studios
183,Minecraft,PS4,Sony Computer Entertainment
184,FIFA 15,PS4,EA Sports
185,Kingdom Hearts,PS2,Square EA
186,Street Fighter II: The World Warrior,SNES,Capcom
187,Driver,PS,GT Interactive
188,Call of Duty: WWII,XOne,Activision
189,Luigi's Mansion: Dark Moon,3DS,Nintendo
190,Big Brain Academy,DS,Nintendo
191,Minecraft,PS3,Sony Computer Entertainment America
192,Metal Gear Solid 2: Sons of Liberty,PS2,Konami
193,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo
194,Metal Gear Solid,PS,Konami
195,Myst,PC,Broderbund
196,Sonic the Hedgehog 2,GEN,Sega
197,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami
198,Euro Truck Simulator 2,PC,SCS Software
199,Mario Kart: Super Circuit,GBA,Nintendo
200,Super Mario Sunshine,GC,Nintendo
